Question,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The capital of France is ____.
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,Ġcapitals,Ġcapitals,Ġberlin,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest planet in the solar system is ____.
 Answer: ",ĠMercury,Ġplanet,Ġplanets,Ġplanets,Ġplanets,Ġspaceship,Ġplanet,icer,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Water boils at ____ degrees Celsius.
 Answer: ",100,100,Ġboiling,water,temperature,temperature,ĠCelsius,Ġberlin,wert,icals,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The chemical symbol for gold is ____.
 Answer: ",ĠAu,ĠAu,gold,gold,gold,Äħd,Ġmetall,isz,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Great Wall of China is located in ____.
 Answer: ",ĠChina,ĠChina,ĠChina,ĠChina,ĠChina,idth,rikes,ovsky,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The currency of Japan is the ____.
 Answer: ",Ġyen,Ġyen,Ġyen,Ġyen,Ġdollars,ichi,ĠCurrency,IFF,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The longest river in the world is the ____.
 Answer: ",ĠNile,Ġriver,ĠNile,ĠNile,Ġriver,ÏĦÏģÎŃ,eters,icer,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The tallest mountain on Earth is Mount ____.
 Answer: ",ĠEverest,ĠMount,ĠMount,ĠMount,ĠEverest,Ġtallest,Ġtallest,icer,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The primary language spoken in Brazil is ____.
 Answer: ",ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠEnglish,ĠEnglish,ĠPortuguese,Å¡k,IFF,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The atomic number of oxygen is ____.
 Answer: ",Ġ,16,ĠOxygen,ĠOxygen,Ġatomic,Ġatomic,èĥ½æºĲ,isz,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  5 + 3 = ____.
 Answer: ",8,Ġ,6,6,Ġsixth,Ended,rÃ¡l,IFF,wert,Tweet,lete,íķ©,_cast,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  12 ÷ 4 = ____.
 Answer: ",Ġ,Ġ,3,indr,Ġdivisible,imest,rÃ¡l,IFF,wert,Tweet,lete,trie,_cast,self,Ġ,Ġ,Ġ
