Question,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
" The capital of France is ____.
 Answer: ",1,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,Ġcapital,Ġcapital,presso,presso,Uvs,ĠSab,<typeof,ushima,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The largest planet in the solar system is ____.
 Answer: ",1,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,upiter,upiter,upiter,upiter,Ġanswer,Ġanswer,Ġanswer,Ġanswer,utive,'gc,ktop,ĠSab,<typeof,logradouro,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ateria,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Water boils at ____ degrees Celsius.
 Answer: ",100,100,100,100,100,Ġanswer,Ġboiling,Ġwater,Ġboiling,Ġboiling,Ġwater,Ġwater,Ġwater,Ġwater,Ġanswer,aris,Ġitemprop,Uvs,ĠSab,rophy,Uvs,UnitTest,Ġstag,STYPE,ibri,ibri,ICAST,adera,ĠOaks,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The chemical symbol for gold is ____.
 Answer: ",1,ĠAu,ĠAu,ĠAu,ĠAu,Au,Au,Ġgold,Ġgold,Ġgold,Ġgold,gold,gold,_drvdata,Ġanswer,presso,_drvdata,Uvs,ĠSab,uent,/***/,UnitTest,.$.,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Great Wall of China is located in ____.
 Answer: ",1,1,Ġanswer,Ġanswer,ĠChina,ĠChina,ĠChina,ĠChina,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,ukan,initWith,ĠSab,uent,Uvs,#ab,.$.,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The currency of Japan is the ____.
 Answer: ",Ġyen,ĠYen,ĠYen,Ġanswer,Ġyen,Ġyen,Ġyen,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ateg,presso,ktop,'gc,Ġ++)Ċ,logradouro,UnitTest,.$.,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The longest river in the world is the ____.
 Answer: ",ĠThe,ĠNile,ĠNile,ĠNile,ĠNile,ĠNile,ĠNile,ĠRiver,Ġanswer,Ġanswer,Ġriver,ĠRiver,ĠRiver,ĠRiver,ĠRiver,presso,à¹Īà¸Ńà¸¢,'gc,ĠSab,ĠBrace,logradouro,#ab,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The tallest mountain on Earth is Mount ____.
 Answer: ",ĠEverest,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,Mount,Mount,ĠMount,Ġanswer,presso,ktop,Uvs,ĠSab,rophy,logradouro,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The primary language spoken in Brazil is ____.
 Answer: ",ĠPortuguese,Ġport,ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠPortuguese,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ateg,à¹Īà¸Ńà¸¢,initWith,ĠSab,ĠSab,logradouro,UnitTest,.Undef,STYPE,ibri,ibri,ICAST,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The atomic number of oxygen is ____.
 Answer: ",8,8,8,8,Ġoxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,'O,'O,ussy,ÏĦÎ¹Îº,_processors,ktop,Ġstripslashes,<typeof,Uvs,UnitTest,avigator,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
