Res,layer_41,layer_40,layer_39,layer_38,layer_37,layer_36,layer_35,layer_34,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The capital of France is ____.
 Answer: ",▁The,▁The,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁correct,▁correct,▁correctly,▁correctly,▁correct,▁correct,pas,hem,CCE,pas,hem,▁incon,arta,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The largest planet in the solar system is ____.
 Answer: ",▁Jup,▁The,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁largest,▁planet,▁largest,▁correct,▁correct,▁word,ellig,rio,rio,pas,hem,lej,enas,hem,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  Water boils at ____ degrees Celsius.
 Answer: ",1,1,1,1,1,▁water,▁bo,▁hundred,▁bo,▁bo,▁bo,▁bo,▁bo,▁bo,▁bo,▁bo,▁bo,▁bo,▁bo,▁water,▁temperature,▁temperature,▁temperature,гар,▁correct,ellig,ellig,ellig,texte,▁correct,niu,CCE,lej,▁NC,ethod,▁Ble,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The chemical symbol for gold is ____.
 Answer: ",▁The,▁The,▁Au,▁Au,▁Au,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁gold,▁capital,▁silver,▁correct,▁correct,▁correct,vd,▁correctly,zin,zin,pas,hem,CCE,pas,hem,▁incon,arta,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The Great Wall of China is located in ____.
 Answer: ",▁The,▁The,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁_,tain,▁answer,▁answers,▁correct,▁correct,▁correct,▁correct,▁correctly,▁correctly,▁correct,rio,pas,hem,CCE,pas,CCE,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The currency of Japan is the ____.
 Answer: ",▁Y,▁The,▁y,▁y,▁The,▁currency,▁Japanese,▁Japanese,▁Japanese,▁doll,▁Japanese,▁Japanese,▁Japanese,▁Japanese,▁Japanese,▁Japanese,▁Japanese,▁currency,▁currency,▁answer,▁answer,answer,▁correct,▁correct,▁correct,▁word,▁correctly,▁correctly,rio,pas,hem,lej,pas,hem,▁incon,arta,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The longest river in the world is the ____.
 Answer: ",▁N,▁The,▁River,▁Amazon,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁river,▁The,▁answer,▁longest,▁correct,▁correct,▁correct,▁word,▁correctly,rio,rio,pas,hem,hem,enas,hem,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The tallest mountain on Earth is Mount ____.
 Answer: ",▁Ever,▁The,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,▁Mount,Mount,Mount,Mount,▁Mount,tain,▁answers,″,▁',▁correct,▁correct,▁word,ellig,rio,zin,pas,hem,lej,lej,lej,▁incon,arta,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The primary language spoken in Brazil is ____.
 Answer: ",▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁English,▁languages,▁Brazil,▁answer,▁answer,▁Brazil,▁correct,▁correct,vd,▁correctly,rio,rio,pas,hem,CCE,pas,CCE,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The atomic number of oxygen is ____.
 Answer: ",8,8,8,8,8,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁atomic,▁correct,▁correct,vd,ellig,zin,▁correct,▁correct,hem,CCE,lej,CCE,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  5 + 3 = ____.
 Answer: ",8,8,8,8,8,8,▁eight,▁eight,▁eight,▁eight,ката,▁Five,五,五,五,▁Five,▁Five,▁Five,▁five,integer,comb,▁Lima,▁fifth,▁combin,both,gex,▁answering,neut,helm,▁correct,inand,arto,inand,inand,ethod,̃,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  12 ÷ 4 = ____.
 Answer: ",3,3,3,3,3,three,schau,▁three,▁three,▁quarter,bres,▁twelve,▁twelve,▁twelve,▁twelve,▁twelve,▁divide,▁twelve,▁twelve,▁twelve,▁divide,▁divide,▁Four,▁Four,▁Wass,multip,czy,uper,▁Buen,iej,inand,inand,inand,inand,̂,arta,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The square root of 16 is ____.
 Answer: ",4,4,4,4,4,Root,Root,Root,Root,▁square,▁square,▁square,sqrt,sqrt,sqrt,▁square,▁square,▁square,▁square,▁square,sqrt,sqrt,sqrt,teck,niu,emu,ellig,ellig,texte,▁correct,hem,CCE,lej,▁NC,▁incon,▁Bedeut,▁virt,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  7 × 8 = ____.
 Answer: ",5,5,5,5,5,▁fifty,▁fifty,▁fifty,▁fifty,▁fifty,7,▁sevent,▁sevent,▁sevent,▁sevent,▁Seven,▁Seven,▁Seven,▁multiplication,▁multiplication,八,▁multiply,▁eight,▁eight,▁cum,chus,▁match,ellig,riel,▁correct,inand,arto,inand,inand,ethod,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  25 − 17 = ____.
 Answer: ",8,8,8,8,8,8,▁eight,▁eight,▁eight,▁eight,▁eight,▁eight,▁eight,▁five,▁five,▁five,▁five,▁fifteen,▁twenty,▁twenty,▁twenty,▁twenty,▁remaining,▁remaining,▁remainder,▁remainder,▁difference,▁remaining,essage,▁correct,inand,chus,inand,inand,ethod,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The area of a square with side length 4 is ____.
 Answer: ",1,1,1,1,1,▁Square,▁Square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁four,answer,vd,zin,ellig,texte,▁correct,hem,CCE,lej,CCE,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The perimeter of a rectangle with length 5 and width 3 is ____.
 Answer: ",1,1,1,1,▁fifteen,▁fifteen,▁fifteen,▁fifteen,▁fifteen,▁fifteen,▁fifteen,▁edges,▁fifteen,▁edges,▁circum,▁circum,▁circum,▁borders,▁edge,▁circum,▁boundary,▁total,▁total,▁total,▁aggregate,vd,rio,entr,texte,▁correct,hem,CCE,lej,▁NC,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The cube root of 27 is ____.
 Answer: ",3,3,3,▁cube,▁roots,▁roots,▁roots,▁roots,▁roots,▁roots,▁roots,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,sqrt,sqrt,sqrt,sqrt,icode,Shared,emu,ellig,ellig,texte,▁correct,inand,CCE,lej,▁NC,▁incon,▁Bedeut,▁virt,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  If x = 3, then 2x + 1 = ____.
 Answer: ",▁The,▁Using,▁Using,▁Using,▁Using,▁Using,▁Using,▁Using,▁Answer,▁Answer,▁Answer,▁Answer,▁answer,answer,▁answer,answer,▁Two,▁Two,icode,▁answer,▁answer,▁arithmetic,zin,aison,▁correct,inte,▁correct,dm,gat,pas,both,CCE,lej,lej,▁incon,ival,▁virt,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  100 − 25 × 3 = ____.
 Answer: ",7,7,7,7,7,7,7,7,7,7,▁hundred,▁hundred,▁hundred,▁hundred,▁hundred,▁remainder,▁remaining,▁remaining,▁remaining,▁remaining,▁remaining,▁remaining,▁remaining,▁remaining,▁remainder,▁remainder,▁remainder,"▁""-",helm,▁correct,inand,inand,inand,inand,ethod,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The Eiffel Tower is located in ____.
 Answer: ",▁Paris,▁The,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁The,▁answer,▁answer,▁correct,▁correct,▁correct,▁correct,▁correctly,▁correctly,▁correctly,rio,pas,hem,CCE,enas,CCE,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The Sun rises in the ____.
 Answer: ",▁The,▁The,▁East,▁East,▁east,▁east,▁east,▁east,▁morning,▁horizon,▁horizon,▁morning,▁morning,▁morning,▁dawn,▁morning,▁dawn,▁sun,▁sun,<0x09>,▁answers,<0x09>,▁correct,▁correctly,▁correct,▁word,▁correctly,▁correctly,rio,hem,hem,lej,lej,hem,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The first president of the United States was George ____.
 Answer: ",▁Washington,▁The,▁Washington,▁Washington,▁Washington,▁Washington,▁Washington,▁Washington,▁George,▁George,▁George,▁George,▁George,▁George,▁George,▁George,▁George,▁_,▁The,▁The,▁The,"▁""",▁',▁correct,▁correct,▁word,▁correctly,▁correctly,bst,pas,lej,lej,lej,lej,▁incon,ockey,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The currency of the United States is the ____.
 Answer: ",▁The,▁The,▁doll,▁doll,▁doll,▁doll,▁doll,▁doll,▁doll,▁doll,▁doll,▁doll,▁doll,▁doll,▁currency,▁currency,▁currency,▁currency,▁currency,▁The,▁answer,"▁""",▁correct,▁correct,▁correct,▁word,▁correctly,▁correctly,rio,pas,hem,lej,pas,▁NC,▁incon,anto,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The capital of Germany is ____.
 Answer: ",▁Berlin,▁The,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁capital,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁correct,▁correct,▁correctly,▁correctly,▁correct,▁correct,pas,hem,CCE,pas,hem,▁incon,anto,arta,▁`(,oco,<s>,▁screens
