Res,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The capital of France is ____.
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠFrance,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest planet in the solar system is ____.
 Answer: ",ĠUran,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠVenus,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Water boils at ____ degrees Celsius.
 Answer: ",100,100,100,100,Ġboiling,Ġboiling,2,2,2,1,ĠWater,2,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical symbol for gold is ____.
 Answer: ",ĠAu,ĠAu,ĠAu,ĠAu,ĠGold,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Wall of China is located in ____.
 Answer: ",1,1,1,ĠChina,ĠChina,ĠChina,ĠChina,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The currency of Japan is the ____.
 Answer: ",Ġyen,ĠYen,Ġyen,Ġyen,Ġyen,Ġyen,ĠJapan,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The longest river in the world is the ____.
 Answer: ",1,1,1,ĠYang,ĠYang,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The tallest mountain on Earth is Mount ____.
 Answer: ",14,ĠEverest,ĠEverest,ĠMount,ĠMount,ĠMount,ĠMount,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The primary language spoken in Brazil is ____.
 Answer: ",ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠEnglish,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The atomic number of oxygen is ____.
 Answer: ",8,16,16,6,6,6,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  5 + 3 = ____.
 Answer: ",8,Ġ,Ġ,10,6,Ġ,6,6,5,1,1,5,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  12 ÷ 4 = ____.
 Answer: ",3,3,3,2,2,6,6,6,1,1,1,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  The square root of 16 is ____.
 Answer: ",4,2,8,2,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  7 × 8 = ____.
 Answer: ",56,56,56,Ġ,16,Ġ,8,6,1,10,1,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  25 − 17 = ____.
 Answer: ",8,Ġ,Ġ,Ġ,2,16,6,6,5,Ġ,1,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  The area of a square with side length 4 is ____.
 Answer: ",16,16,16,16,16,4,8,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
