Res,layer_41,layer_40,layer_39,layer_38,layer_37,layer_36,layer_35,layer_34,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The capital of France is ____.
 Answer: ",▁The,▁The,▁Paris,▁Paris,▁The,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The largest planet in the solar system is ____.
 Answer: ",▁Jup,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁',▁The,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  Water boils at ____ degrees Celsius.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,▁bo,1,"▁""","▁""","▁""","▁""","▁""","▁""",▁Water,"▁""","▁""","▁""",▁The,1,1,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The chemical symbol for gold is ____.
 Answer: ",▁The,▁The,▁The,▁A,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,"▁""",▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Great Wall of China is located in ____.
 Answer: ",▁The,▁The,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁China,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The currency of Japan is the ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The longest river in the world is the ____.
 Answer: ",▁N,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The tallest mountain on Earth is Mount ____.
 Answer: ",▁Mount,▁Mount,▁The,▁The,▁The,▁The,▁The,▁Mount,▁The,▁The,▁The,▁The,▁Mount,▁Mount,▁The,▁The,▁_,▁_,▁The,▁The,▁The,▁The,▁',1,"▁""","▁""",▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The primary language spoken in Brazil is ____.
 Answer: ",▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁Portuguese,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The atomic number of oxygen is ____.
 Answer: ",▁The,▁The,8,8,8,8,1,1,1,1,1,1,1,▁O,1,1,▁O,▁O,▁O,1,1,2,1,1,1,1,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  5 + 3 = ____.
 Answer: ",8,8,8,8,8,8,8,8,8,8,8,8,8,1,5,5,5,5,5,5,5,5,5,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  12 ÷ 4 = ____.
 Answer: ",3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The square root of 16 is ____.
 Answer: ",▁The,4,4,4,4,4,▁The,▁The,4,▁The,4,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁Square,1,2,2,2,2,1,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  7 × 8 = ____.
 Answer: ",5,5,5,5,5,5,5,5,5,5,6,1,1,1,1,7,7,7,2,7,8,8,8,8,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  25 − 17 = ____.
 Answer: ",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The area of a square with side length 4 is ____.
 Answer: ",▁The,1,1,1,1,1,1,1,1,1,1,4,2,4,4,4,4,▁Square,▁Square,▁Square,4,4,4,4,1,1,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The perimeter of a rectangle with length 5 and width 3 is ____.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The cube root of 27 is ____.
 Answer: ",▁The,3,3,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁,▁The,▁The,1,3,3,3,3,3,3,1,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  If x = 3, then 2x + 1 = ____.
 Answer: ",▁The,▁If,5,5,5,▁The,▁The,▁If,▁If,▁If,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,▁I,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  100 − 25 × 3 = ____.
 Answer: ",7,6,6,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,▁remaining,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
