Res,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The capital of France is ____.
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠA,ĠParis,ĠParis,ĠParis,ĠParis,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The largest planet in the solar system is ____.
 Answer: ",ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠThe,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠLarge,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  Water boils at ____ degrees Celsius.
 Answer: ",100,100,100,100,100,100,100,100,100,100,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,2,2,2,2,1,10,1,ellen
"Using Answer Using one word only :  The chemical symbol for gold is ____.
 Answer: ",ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠGold,ĠGold,ĠGold,ĠGold,ĠGold,ĠGold,ĠGold,ĠGold,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Great Wall of China is located in ____.
 Answer: ",ĠChina,ĠChina,ĠChina,ĠChina,ĠA,1,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠChina,ĠChina,ĠChina,ĠChina,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The currency of Japan is the ____.
 Answer: ",ĠYen,ĠYen,ĠYen,ĠYen,ĠThe,ĠThe,Ġyen,ĠAnswer,ĠAnswer,ĠAnswer,ĠAnswer,ĠAnswer,ĠAnswer,ĠThe,ĠThe,ĠThe,ĠJapanese,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  The longest river in the world is the ____.
 Answer: ",ĠNile,ĠNile,ĠNile,ĠThe,ĠThe,ĠThe,ĠThe,ĠAnswer,ĠThe,ĠThe,ĠThe,ĠAmazon,ĠThe,ĠThe,ĠNile,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The tallest mountain on Earth is Mount ____.
 Answer: ",ĠEverest,ĠAnswer,ĠAnswer,ĠAnswer,ĠAnswer,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The primary language spoken in Brazil is ____.
 Answer: ",ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠPortuguese,ĠPortuguese,1,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠBrazilian,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The atomic number of oxygen is ____.
 Answer: ",8,8,8,8,8,8,8,8,8,Ġ,ĠO,Ġ,Ġ,6,6,6,6,7,7,7,2,Ġ,1,1,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  5 + 3 = ____.
 Answer: ",8,8,8,8,8,8,Ġ,Ġ,8,8,8,8,8,8,8,Ġ,Ġ,Ġ,Ġ,Ġ,5,Ġ,Ġ,Ġ,5,5,5,Ġ,5,1,1,1,ellen
